Bezeichnung,Gruppenbezeichnung,Beschreibung,Anwendungsgebiet,Nennweite,Förderhöhe H max.,Baulänge,Betriebsdruck max.,Mediumtemperatur min.,Mediumtemperatur max.,Nettogewicht,EEI-Wert,bei   75°C Wassertemperatur,pro 100 m Höhe,Leistung P min.,Leistung P max.,Nennstrom min.,Nennstrom max.,Nennweite G/DN
AX 32-4 170 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,4,170,10,15,110,2.3,0.2,0.05,0.01,5,22,0.05,0.19,2
AX 32-6 170 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,6,170,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,2
AX 32-4 180 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,4,180,10,15,110,2.3,0.2,0.05,0.01,5,22,0.05,0.19,2
AX 32-6 180 RED,RED,"Mit der AX erhalten Sie eine solide und bewährte Biral Pumpe, welche die Grundanforderungen vollumfänglich abdeckt.","Radiator- und Flächenheizungen vom Einfamilienhaus bis zur Industrieanlage, auch für Lufterhitzer und Solaranlagen geeignet.",32,6,180,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,2
AX 25-4 180 RED BZ,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",25,4,180,10,15,110,2.3,0.2,0.05,0.01,5,22,0.05,0.19,1.5
AX 25-6 180 RED BZ,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",25,6,180,10,15,110,2.3,0.23,0.05,0.01,5,45,0.05,0.38,1.5
A 12 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,4,170,10,15,95,3.8,0.21,0.1,0.01,8,33,0.1,0.25,2
A 12-1 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",25,4,180,10,15,95,3.8,0.21,0.1,0.01,8,33,0.1,0.25,1.5
A 12-2 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,4,180,10,15,95,3.8,0.21,0.1,0.01,8,33,0.1,0.25,2
A 13 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,5,170,10,15,95,3.8,0.21,0.1,0.01,8,50,0.1,0.35,2
A 13-1 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",25,5,180,10,15,95,3.8,0.21,0.1,0.01,8,50,0.1,0.35,1.5
A 13-2 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,5,180,10,15,95,3.8,0.21,0.1,0.01,8,50,0.1,0.35,2
A 14 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,6,170,10,15,95,3.8,0.22,0.1,0.01,8,70,0.1,0.5,2
A 14-1 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",25,6,180,10,15,95,3.8,0.22,0.1,0.01,8,70,0.1,0.5,1.5
A 14-2 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,6,180,10,15,95,3.8,0.22,0.1,0.01,8,70,0.1,0.5,2
A 15 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,8,170,10,15,95,3.8,0.22,0.1,0.01,8,107,0.1,0.8,2
A 15-1 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",25,8,180,10,15,95,3.8,0.22,0.1,0.01,8,107,0.1,0.8,1.5
A 15-2 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,8,180,10,15,95,3.8,0.22,0.1,0.01,8,107,0.1,0.8,2
A 16-1 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",25,11,180,10,15,95,3.8,0.21,0.1,0.01,8,174,0.1,1.25,1.5
A 16-2 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,11,180,10,15,95,3.8,0.21,0.1,0.01,8,174,0.1,1.25,2
A 401 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewinde- oder Flanschanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",40,11,220,10,15,95,9,0.22,0.1,0.01,8,174,0.1,1.25,40
A 401-1 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewinde- oder Flanschanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",40,11,250,10,15,95,9,0.22,0.1,0.01,8,174,0.1,1.25,40
A 500 RED,RED,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewinde- oder Flanschanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.","Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",50,11,220,10,15,95,10.5,0.22,0.1,0.01,8,174,0.1,1.25,50
AD 14-2 RED,RED,Die AD Pumpe ist ausgelegt für den Reserve- oder Wechselbetrieb.,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,6,180,10,15,95,28.2,0.22,0.1,0.01,8,70,0.1,0.5,2
AD 15-2 RED,RED,Die AD Pumpe ist ausgelegt für den Reserve- oder Wechselbetrieb.,"Hocheffiziente Nassläufer-Umwälzpumpe mit Gewindeanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",32,8,180,10,15,95,28.2,0.22,0.1,0.01,8,107,0.1,0.8,2
AD 401 RED,GREEN,Die AD Pumpe ist ausgelegt für den Reserve- oder Wechselbetrieb.,"Hocheffiziente Nassläufer-Umwälzpumpe mit Flanschanschluss für Warmwasserheizungen, Solaranlagen und industrielle Anwendungen.",40,11,220,10,15,95,30,0.22,0.1,0.01,8,174,0.1,1.25,40
ModulA 32F-12 220 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,12,220,16,-10,110,17.3,0.18,0.92,0.01,16,328,0.17,1.5,32
ModulA 40-8 220 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",40,8,220,16,-10,110,18.3,0.19,0.12,0.02,20,268,0.2,1.21,40
ModulA 40-10 220 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",40,10,250,16,-10,110,18.3,0.19,0.12,0.03,18,341,0.19,1.54,40
ModulA 40-12 250 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",40,12,250,16,-10,110,18.1,0.18,0.12,0.04,17,421,0.18,1.91,40
ModulA 40-18 250 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",40,18,240,16,-10,110,18.1,0.18,0.12,0.05,16,594,0.18,2.63,40
ModulA 50-6 240 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",50,6,270,16,-10,110,19.6,0.19,0.12,0.06,21,236,0.21,1.09,50
ModulA 50-6 270 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",50,6,240,16,-10,110,20.8,0.19,0.12,0.07,21,236,0.21,1.09,50
ModulA 50-8 240 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",50,8,270,16,-10,110,19.6,0.18,0.12,0.08,22,315,0.21,1.42,50
ModulA 50-12 270 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",50,12,270,16,-10,110,20.1,0.18,0.12,0.09,20,516,0.21,2.32,50
ModulA 50-18 270 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",50,18,270,16,-10,110,20.8,0.17,0.22,0.1,22,742,0.21,3.34,50
ModulA 65-8 270 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",65,8,340,16,-10,110,22.6,0.17,0.22,0.11,22,464,0.24,2.1,65
ModulA 65-8 340 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",65,8,340,16,-10,110,23.5,0.17,0.22,0.12,22,464,0.24,2.1,65
ModulA 65-12 340 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",65,12,340,16,-10,110,23.5,0.17,0.12,0.13,21,736,0.22,3.32,65
ModulA 65-15 340 GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",65,15,360,16,-10,110,26,0.17,0.42,0.14,30,1254,0.28,5.68,65
ModulA 80-8 360 GREEN PN6,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",80,8,360,6,-10,110,31.1,0.17,0.52,0.15,29,704,0.29,3.08,80
ModulA 80-8 360 GREEN PN10/16,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",80,8,360,16,-10,110,31.1,0.17,0.52,0.16,29,704,0.29,3.08,80
ModulA 80-12 360 GREEN PN6,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",80,12,360,6,-10,110,31.1,0.17,0.52,0.17,35,1282,0.32,5.56,80
ModulA 80-12 360 GREEN PN10/16,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",80,12,450,16,-10,110,31.1,0.17,0.52,0.18,35,1282,0.32,5.56,80
ModulA 100-12 450 GREEN PN6,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",100,12,450,6,-10,110,36,0.17,0.52,0.19,35,1563,0.32,6.78,100
ModulA 100-12 450 GREEN PN10/16,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",100,12,170,16,-10,110,36,0.17,0.52,0.2,35,1563,0.32,6.78,100
A 12 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,4,180,10,-10,95,3.8,0.21,0.1,0.21,8,33,0.1,0.25,2
A 12-1 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",25,4,180,10,-10,95,3.8,0.21,0.1,0.22,8,33,0.1,0.25,1.5
A 12-2 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,4,170,10,-10,95,3.8,0.21,0.1,0.23,8,33,0.1,0.25,2
A 13 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,5,180,10,-10,95,3.8,0.21,0.1,0.24,8,50,0.1,0.35,2
A 13-1 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",25,5,180,10,-10,95,3.8,0.21,0.1,0.25,8,50,0.1,0.35,1.5
A 13-2 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,5,170,10,-10,95,3.8,0.21,0.1,0.26,8,50,0.1,0.35,2
A 14 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,6,180,10,-10,95,3.8,0.22,0.1,0.27,8,70,0.1,0.5,2
A 14-1 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",25,6,180,10,-10,95,3.8,0.22,0.1,0.28,8,70,0.1,0.5,1.5
A 14-2 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,6,170,10,-10,95,3.8,0.22,0.1,0.29,8,70,0.1,0.5,2
A 15 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,8,180,10,-10,95,3.8,0.22,0.1,0.3,8,107,0.1,0.8,2
A 15-1 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",25,8,180,10,-10,95,3.8,0.22,0.1,0.31,8,107,0.1,0.8,1.5
A 15-2 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,8,180,10,-10,95,3.8,0.22,0.1,0.32,8,107,0.1,0.8,2
A 16-1 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",25,11,180,10,-10,95,3.8,0.21,0.1,0.33,8,174,0.1,1.25,1.5
A 16-2 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",32,11,220,10,-10,95,3.8,0.21,0.1,0.34,8,174,0.1,1.25,2
A 401 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",40,11,250,10,-10,95,9,0.22,0.1,0.35,8,175,0.1,1.25,40
A 401-1 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",40,11,220,10,-10,95,9,0.22,0.1,0.36,8,176,0.1,1.25,40
A 500 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",50,11,220,10,-10,95,11,0.22,0.1,0.37,8,177,0.1,1.25,50
AD 401 KW GREEN,GREEN,Die neue ModulA GREEN wurde für Temperaturen von bis zu -10° C entwickelt. Sie kombiniert höchste Energieeffizienz mit den aktuellsten Permanentmagnet-Technologien und einer exzellenten Bedienphilosophie.,"Lüftungs- und Kühlkreisläufe in Wohnhäusern und in der Industrie, Klimaanlagen und Wärmepumpen.",40,11,,10,-10,95,9,0.22,0.1,0.38,8,178,0.1,1.25,40
ModulA BLUE ,BLUE,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Von der 25-4 mit maximal 4 mWS bis zur 40-18 mit maximal 18 mWS stehen genügend Typen zur Verfügung um ein Mehrfamilienhaus, ein Spital, ein Schulhaus, ein Bürogebäude oder ein Hotel zuverlässig und mit dem exakt richtigen eingeregelten Betriebspunkt zu versorgen.",25,4,180,10,15,85,4.8,,0.12,0.39,11,52,0.1,0.39,1.5
ModulA BLUE ,BLUE,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Von der 25-4 mit maximal 4 mWS bis zur 40-18 mit maximal 18 mWS stehen genügend Typen zur Verfügung um ein Mehrfamilienhaus, ein Spital, ein Schulhaus, ein Bürogebäude oder ein Hotel zuverlässig und mit dem exakt richtigen eingeregelten Betriebspunkt zu versorgen.",25,6,180,10,15,85,4.8,,0.12,0.4,12,86,0.1,0.64,1.5
ModulA BLUE ,BLUE,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Von der 25-4 mit maximal 4 mWS bis zur 40-18 mit maximal 18 mWS stehen genügend Typen zur Verfügung um ein Mehrfamilienhaus, ein Spital, ein Schulhaus, ein Bürogebäude oder ein Hotel zuverlässig und mit dem exakt richtigen eingeregelten Betriebspunkt zu versorgen.",25,8,180,10,15,85,4.8,,0.12,0.41,11,120,0.1,0.91,1.5
