Bezeichnung,Gruppenbezeichnung,Beschreibung,Anwendungsgebiet,Nennweite,Förderhöhe H max.,Baulänge,Betriebsdruck max.,Mediumtemperatur min.,Mediumtemperatur max.,Nettogewicht,EEI-Wert,bei   75°C Wassertemperatur,pro 100 m Höhe,Leistung P min.,Leistung P max.,Nennstrom min.,Nennstrom max.,Nennweite G/DN
ModulA 32-4 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,4,180,10,15,110,4.7,0.18,0.12,0.01,11,70,0.1,0.5,2
ModulA 32-6 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,6,180,10,15,110,4.7,0.18,0.12,0.01,11,105,0.1,0.79,2
ModulA 32-8 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,8,180,10,15,110,4.7,0.18,0.12,0.01,11,139,0.1,1.03,2
ModulA 32-10 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,10,180,10,15,110,4.7,0.18,0.12,0.01,11,175,0.1,1.35,2
ModulA 32-12 180 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,12,180,10,15,110,4.7,0.18,0.92,0.01,11,187,0.1,1.45,2
ModulA 32F-6 220 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,6,220,6,15,110,7,0.18,0.12,0.01,11,105,0.1,0.79,32
ModulA 32F-12 220 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",32,12,220,16,15,110,15.3,0.18,0.92,0.01,16,328,0.17,1.5,32
ModulA 40-4 220 RED ,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,4,220,16,15,110,9.2,0.18,0.12,0.01,15,91,0.13,0.68,40
ModulA 40-6 220 RED ,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,6,220,16,15,110,9.2,0.19,0.12,0.01,16,171,0.13,1.34,40
ModulA 40-8 220 RED,RED,Die ModulA gilt als Meisterin bezüglich Energieeinsparung und Wirtschaftlichkeit und setzt damit die Effizienzmesslatte für die Zukunft.,"Die ModulA-Pumpenfamilie bietet nahezu für jede Leistungsklasse und jeden Anwendungsbereich die passende Lösung. Ob Heizungs-Umwälzpumpen, Pumpen für Klima-/Kälte-Anwendungen oder Brauchwasserpumpen.",40,8,220,16,15,110,16.3,0.19,0.12,0.01,20,268,0.2,1.21,40
